time,open,high,low,close
2025-05-22T07:55:00+05:30,110466.17,110618,110391.56,110440.41
2025-05-22T08:00:00+05:30,110440.4,110790,110440.4,110727.27
2025-05-22T08:05:00+05:30,110727.28,110981.96,110695.65,110837
2025-05-22T08:10:00+05:30,110837,110894.64,110374.21,110462.53
2025-05-22T08:15:00+05:30,110462.52,110634.15,110372.21,110377.72
2025-05-22T08:20:00+05:30,110377.71,110575.96,110308.52,110575.96
2025-05-22T08:25:00+05:30,110575.95,110630.64,110449.99,110471.51
2025-05-22T08:30:00+05:30,110471.52,110668.73,110339.87,110605.92
2025-05-22T08:35:00+05:30,110605.92,110700,110599.98,110643.51
2025-05-22T08:40:00+05:30,110643.51,110662.51,110476.23,110499.99
2025-05-22T08:45:00+05:30,110500,110590.91,110428.85,110447.79
2025-05-22T08:50:00+05:30,110447.8,110779.94,110428.96,110762.47
2025-05-22T08:55:00+05:30,110762.46,110884.35,110724.02,110771.15
2025-05-22T09:00:00+05:30,110771.14,110877.48,110704.42,110877.47
2025-05-22T09:05:00+05:30,110877.48,110999,110716.19,110793.02
2025-05-22T09:10:00+05:30,110793.01,111471.64,110793.01,111313.95
2025-05-22T09:15:00+05:30,111313.96,111718,111313.96,111718
2025-05-22T09:20:00+05:30,111718,111871,111549.32,111667.51
2025-05-22T09:25:00+05:30,111667.52,111880,111666.67,111780.84
2025-05-22T09:30:00+05:30,111780.84,111795.04,111497.59,111512.83
2025-05-22T09:35:00+05:30,111512.83,111587.7,111405.57,111505.78
2025-05-22T09:40:00+05:30,111505.79,111580.28,111316.76,111391.3
2025-05-22T09:45:00+05:30,111391.29,111448.98,111234.4,111413.22
2025-05-22T09:50:00+05:30,111413.22,111482.43,111246.37,111252.89
2025-05-22T09:55:00+05:30,111252.89,111500,111240.01,111488.84
2025-05-22T10:00:00+05:30,111488.84,111586.65,111295.14,111404.01
2025-05-22T10:05:00+05:30,111404,111518.64,111397.27,111479.25
2025-05-22T10:10:00+05:30,111479.25,111725.82,111460,111725.82
2025-05-22T10:15:00+05:30,111725.82,111725.82,111590.9,111620.99
2025-05-22T10:20:00+05:30,111620.99,111621,111418.98,111475
2025-05-22T10:25:00+05:30,111475,111540.93,111428.09,111482.42
2025-05-22T10:30:00+05:30,111482.43,111523.12,111399.76,111510.87
2025-05-22T10:35:00+05:30,111510.86,111672.32,111244.06,111311.53
2025-05-22T10:40:00+05:30,111311.53,111334.57,111199.61,111330.37
2025-05-22T10:45:00+05:30,111330.38,111484.11,111320.82,111385.96
2025-05-22T10:50:00+05:30,111385.95,111434.73,111326,111404.98
2025-05-22T10:55:00+05:30,111404.98,111484.98,111272.88,111448.99
2025-05-22T11:00:00+05:30,111448.99,111448.99,111313.69,111350.33
2025-05-22T11:05:00+05:30,111350.33,111485.01,111325.17,111485
2025-05-22T11:10:00+05:30,111485,111509.12,111325.28,111426.48
2025-05-22T11:15:00+05:30,111426.48,111507.09,111355.61,111434.8
2025-05-22T11:20:00+05:30,111434.81,111519.53,111357.51,111366.15
2025-05-22T11:25:00+05:30,111366.15,111366.15,110832.38,110879.99
2025-05-22T11:30:00+05:30,110880,111185.82,110843.49,111152.35
2025-05-22T11:35:00+05:30,111152.35,111152.35,111009.91,111048.97
2025-05-22T11:40:00+05:30,111048.97,111048.98,110913.36,111008
2025-05-22T11:45:00+05:30,111008.01,111015.8,110800.07,110938.45
2025-05-22T11:50:00+05:30,110938.45,110999.66,110809.52,110999.66
2025-05-22T11:55:00+05:30,110999.65,111029.99,110687.57,110835.55
2025-05-22T12:00:00+05:30,110835.54,110948.68,110632.07,110812.24
2025-05-22T12:05:00+05:30,110812.23,110890.41,110716.34,110743.44
2025-05-22T12:10:00+05:30,110743.44,110880,110736.86,110879.87
2025-05-22T12:15:00+05:30,110879.88,110952.39,110681.81,110691.24
2025-05-22T12:20:00+05:30,110691.24,110745,110590.9,110638.63
2025-05-22T12:25:00+05:30,110638.64,110638.64,110478.26,110606.07
2025-05-22T12:30:00+05:30,110606.07,110644.72,110461.87,110641.76
2025-05-22T12:35:00+05:30,110641.95,110716.36,110550.02,110695.66
2025-05-22T12:40:00+05:30,110695.65,110809.53,110530.51,110809.53
2025-05-22T12:45:00+05:30,110809.53,111068.11,110727.28,110759.62
2025-05-22T12:50:00+05:30,110759.62,110854.26,110665.68,110727.9
2025-05-22T12:55:00+05:30,110727.9,110817.12,110600,110730.93
2025-05-22T13:00:00+05:30,110730.92,110869.57,110655,110854.78
2025-05-22T13:05:00+05:30,110854.78,111020.73,110840,110882.13
2025-05-22T13:10:00+05:30,110882.13,111066.43,110851.96,110880.03
2025-05-22T13:15:00+05:30,110880.03,110969.31,110782.55,110956.53
2025-05-22T13:20:00+05:30,110956.52,111026.54,110880,110986.8
2025-05-22T13:25:00+05:30,110986.8,111139.71,110970.84,111045.45
2025-05-22T13:30:00+05:30,111045.45,111140,110939.93,110968.5
2025-05-22T13:35:00+05:30,110968.5,111078.76,110954.78,111001.55
2025-05-22T13:40:00+05:30,111001.55,111041.74,110932,110999.99
2025-05-22T13:45:00+05:30,110999.99,111162.18,110987.26,111120.01
2025-05-22T13:50:00+05:30,111120,111120.01,110776.77,110798
2025-05-22T13:55:00+05:30,110798,110931.17,110699.75,110784.22
2025-05-22T14:00:00+05:30,110784.22,110804.15,110425.75,110445.99
2025-05-22T14:05:00+05:30,110446,110636.37,110445.99,110594.24
2025-05-22T14:10:00+05:30,110594.23,110602.63,110494.22,110549.53
2025-05-22T14:15:00+05:30,110549.53,110648.57,110463.83,110463.84
2025-05-22T14:20:00+05:30,110463.83,110521.55,110381.46,110512.25
2025-05-22T14:25:00+05:30,110512.25,110512.25,110409.09,110409.09
